serial #,Gender,Grade,Age,Diet,breakfast frequency,food breakfast,sleep per night,homework time,%homework in school,transportation time,get home around,wake up around,% homework alone,fast food frequency,sick days,lunch detention/workshop,part time job,GPA,letter Grade,AP classes,stress,metro%,bus%,walk%,driven%,%drive yourself,%find teacher,subject good,subject bad,know grade,respected by friends,respected by teachers,like burke,assembly,bonding trip,advising program,clubs,sport season,pe credit,sport outside
1201,F,12,17,No,5,"Egg,ceeal,Milk,Bagel",7,3,60,2,16:30:00,6:00:00,80,0,2,0,12,3.2,N/A,2,7,90,0,10,10,0,80,Science,Math,5,5,6,7,5,5,7,2,2,0,Martial Arts
1202,F,12,17,No,2,"Bagel,Hotpocket",6,3,60,1.5,18:30:00,6:20:00,70,0,5,0,0,3.57,N/A,2,8,0,0,0,100,0,50,Senior Seminar,Calculus,4,6,7,6,3,N/A,2,1,3,0,"softball, soccer, basketball"
1203,F,12,19,No,0,Juice,4,1,80,2,16:00:00,6:00:00,100,3,4,2,0,2.7,N/A,0,3,20,20,20,20,20,100,Math,Anatomy,1,4,4,5,4,3,5,2,1,0,Yoga
1204,F,12,17,No,1,"Oatmea,coffee,bagel",6,4,40,0.2,16:00:00,7:30:00,80,4,7,0,0,3.66,A-,4,8,0,0,50,50,0,0,AP Art History,AP Stat,6,6,7,6,5,7,,5,1,0,0
1205,M,12,18,No,4,Oatmeal,6,2,15,0.15,16:00:00,7:20:00,90,1,5,4,0,3,N/A,1,3,80,0,0,20,0,N/A,"Engish,Histor",Math,1,4,5,3,1,3,7,2,0,0,0
1206,M,12,17,No,5,cereal,6,3,50,2,18:30:00,6:30:00,100,2,3,-,-,4,A,3,8,10,0,0,90,0,60,Science,English,6,3,7,4,2,N/A,7,4,2,0,0
1207,M,12,17,no,0,N/A,7,1,15,1,17:30:00,7:30:00,100,0,3,0,0,3,N/A,1,3,0,0,100,0,0,70,N/A,N/A,3,3,5,7,1,1,6,1,7,1,0
1208,M,12,17,No,5,oatmeal,5.5,3,90,1.5,18:00:00,6:00:00,100,0,2,0,0,3.89,N/A,3,1,33.3,0,33.3,33.3,0,50,AP Calc,"AP Physics, AP English",7,7,7,4,3,3,4,7,7,0,
1209,M,12,17,No,2,"Bagel,Hotpocket",2,2,80,0.15,17:00:00,5:15:00,99,2,2,1,90,4.06,N/A,2,2,0,30,60,10,0,80,AP Chem,US History,5,5,4,1,6,7,1,2,4,0,Ice Hockey
1210,M,12,17,No,5,"Protein shake, egg whiote, chicken scramble, bacon, strawberries",7,1,95,0.7,18:00:00,7:45:00,10,0,4.5,1,0,3.9,N/A,2,2,25,25,25,25,0,60,Everything,N/A,6,7,5,0,1,2,3,4,3,0,Water Polo
1211,N/A,12,18,No,3,English Muffin,6,0,25,1.5,19:30:00,6:00:00,25,0,0,3,2,3,B,1,8,100,0,0,0,0,100,Psycology,"English, Biology",5,6,5,5,3,1,4,1,0,0,0
1212,M,12,17,No,5,Oatmeal,7,6,40,3,19:00:00,7:00:00,90,0,1,1,0,3.2,N/A,0,7,90,0,0,10,0,60,Physics,Math,2,6,3,4,4,6,4,2,3,0,0
1213,M,12,18,No,4,bread,6,4,10,1,16:00:00,4:00:00,100,0,1,0,30,4,A,3,3,0,50,50,0,0,75,AP Calculus,English,6,4,6,4,1,3,5,4,9,2,Yoga
1214,M,12,18,No,5,XwewL,8,3.5,40,1.42857142857143,15:40:00,7:00:00,100,1,1,0,0,2.4,N/A,0,6,9,9,9,9,100,70,"Stagecraft, physcology",Math,3,6,7,7,6,6,7,6,2,0,0
1215,F,12,17,Yes,5,Cereal,7,2.5,50,1,18:00:00,6:30:00,95,0,4,0,0,3.33,B+,3,8,0,100,0,0,0,80,Biology,Math,2,6,7,6,N/A,N/A,6,6,1,0,0
1216,F,12,18,No,5,"energy Bars, bagel, fruit",7,2,60,0,15:40:00,8:00:00,40,1,10,0,0,3.6,N/A,0,7,0,0,0,0,100,70,History,Science,7,6,7,2,2,3,6,3,1,0,0
1217,F,12,19,No,1,Yogurt,5,5,2,1,17:00:00,6:45:00,99,0,7,1,40,4,N/A,3,7,50,50,0,0,0,99,Stats,N/A,5,6,7,6,6,6,6,6,0,1,running
1218,F,12,17,No,0,N/A,7,1.5,70,2,16:30:00,7:00:00,90,1,8,1,0,4.1,N/A,3,5,65,0,0,35,0,60,Stats,Economics,3,5,5,5,4,1,4,3,0,0,0
1219,M,12,17,No,5,Bread,7,2,85,1,15:40:00,6:00:00,100,0,19,0,0,2.75,N/A,4,10,33.3,33.3,33.3,0,0,N/A,N/A,N/A,1,2,2,3,1,1,1,5,1,1,0
1220,F,12,17,No,5,"apple, fruit bar",3.5,4,10,0.5,16:00:00,6:35:00,100,1,1,0,0,3.4,N/A,3,9,0,0,0,100,0,80,AP English,Ap Statistics,1,7,5,3,1,1,7,7,1,0,Tennis
1221,F,12,17,No,2,Pasta,7,8,90,0.166666666666667,15:40:00,7:10:00,99,2,0,0,0,2.666,B-,1,4,0,0,0,100,0,30,Ceramics,Math,1,4,2,1,1,N/A,2,1,0,3,0
1222,F,12,18,No,0,"Carnation instnat breakfeast, special K bars",5,2.5,45,0,16:00:00,6:00:00,100,0,7,2,0,3.8,N/A,2,9,0,0,0,50,50,70,English,N/A,6,5,5,6,1,7,5,1,1,1,Yoga
1223,F,12,17,Kosher,5,Cereal and soy milk,8,6,40,0.583333333333333,17:30:00,7:00:00,100,0,25,0,0,3.32,N/A,2,7,100,0,0,0,0,70,Health,AP Stastics,1,5,7,6,2,4,7,1,0,0,0
1224,F,12,17,No,5,Dinner food or waffles,6,1,80,1,21:30:00,6:45:00,98,0,5,0,0,3.7,N/A,2,2.5,0,0,0,100,0,N/A,N/A,N/A,5,7,7,4,1,N/A,6,1,3,0,0
1225,F,12,18,No,5,egg bread,5,2,30,2,17:30:00,6:50:00,98,0,10,0,0,4,A,2,1,33.3,33.3,0,33.3,0,98,N/A,N/A,1,7,7,7,7,5,7,7,1,0,0
1226,M,12,18,No,5,Cereal,6,3,50,3,16:00:00,6:00:00,50,0,0,0,0,3.2,N/A,2,8,0,50,50,0,0,75,"English, History",Math,4,8,6,6,2,3,5,5,1,0,0
1227,M,12,18,No,5,Cereal,6.5,2,50,1.5,19:00:00,6:30:00,100,0,3,1,0,N/A,N/A,0,7,33.3,0,33.3,33.3,0,50,"Psycology,Physics",N/A,5,6,6,5,5,6,6,5,3,3,0
1228,F,12,18,No,0,N/A,Didn't answer,12,30,2,No,5:30:00,98,0,0,1,0,3,B,2,8,100,0,0,0,0,100,Physics,N/A,5,5,7,4,1,N/A,5,N/A,2,0,0
1229,M,12,18,No,5,Bagel w/sa;mon,6.5,5,20,0.75,16:10:00,6:30:00,95,0,10,0,10,3.5,N/A,4,4,0,0,0,100,0,30,Latin,English,1,7,3,5,5,4,1,1,0,2,Tappwando
1230,F,12,17,No,5,"Yogurt, cresant, bagel, oatmeal",6,3,25,2,19:40:00,6:30:00,25,0,0,"""many times""",0,3.82,N/A,2,6,0,0,0,100,0,80,Physics,AP Statistics,5,?,6,7,6,6,7,,2,0,0
1231,F,12,17,No,4,"Cereal, Milk, toast",6,3,25,0.166666666666667,15:50:00,6:30:00,90,0,2,0,0,No answer,No answer,0,8.5,0,0,100,0,0,50,"Arts, English","Science, Math",3,7,5,7,5,7,4,7,0,3,0
1232,M,12,17,No,5,"Apples, coffee Cake",7,4,35,1.5,16:15:00,6:00:00,90,0,1,0,0,3.73,N/A,2,6,85,7.5,7.5,0,70,"Spanish, History",Math,3,4,6,5,5,5,5,4,6,0,2,
1233,F,12,16,No,5,"Cereal, Milk",7,4,90,1,17:00:00,6:30:00,90,0,0,0,0,3.4,N/A,4,10,50,0,50,0,0,50,Seminar youth sports,AP Calculus,5,7,6,7,2,0,3,7,2,0,Tae Kwon Do
1234,F,12,17,No,4,Fruit,5,4,80,1,18:00:00,7:00:00,90,0,10,3,9,3.6,N/A,2,8,50,0,50,0,0,30,English,Pre-Calculus,6,7,5,7,2,0,3,7,1,0,Dancing
1235,F,12,17,No,5,"Oatmeal, cereal, walnuts tea, almond Milk, fruit",7.5,4,20,4,17:20:00,7:15:00,95,0,5,0,0,3.9,N/A,2,6,0,0,100,0,0,90,"English, Math",Biology,5,2,7,4,7,6,6,6,0,0,Gym
1236,F,12,17,No,5,Cereal,8,5,20,4,15:30:00,7:00:00,80,0,0,0,10,4,N/A,4,5,0,0,0,100,0,85,History,N/A,3,6,6,6,7,3,7,6,1,0,0
mean,,,17.3888888888889,,3.66666666666667,#DIV/0!,6.18571428571429,3.38888888888889,47.4166666666667,1.34153439153439,17:08:25,6:33:20,85.1666666666667,0.5,4.65277777777778,0.61764705882353,5.8,3.48223529411765,#DIV/0!,2.02777777777778,5.97222222222222,29.3666666666667,11.3361111111111,21.7055555555556,31.3583333333333,9.44444444444444,67.25,#DIV/0!,3,3.86111111111111,5.51428571428571,5.58333333333333,4.86111111111111,3.37142857142857,3.83333333333333,4.85714285714286,3.94117647058824,1.80555555555556,0.527777777777778,
sd,,,0.64488217208496,,1.91236577493503,#NUM!,1.27236298398893,2.21395286796881,27.3018837654631,1.01818363215736,1:25:56,0:45:20,24.153674668671,0.971008312455224,5.39287816667825,1.04489250954643,17.0221309234911,0.466454262841102,#NUM!,1.25324974391975,2.58828250954303,36.3102189472881,22.1383720239998,31.0429190862719,39.3000354416416,26.5054651447524,23.6629559411112,#NUM!,#NUM!,1.97343468208209,1.5023790657297,1.46140832271966,1.88456554717189,2.11556854110209,2.27555727669954,1.92724822331886,2.30862908907965,2.12225546387994,0.97059955288651,
min,,,16,,0,0,2,0,2,0,15:30:00,4:00:00,10,0,0,0,0,2.4,0,0,1,0,0,0,0,0,0,0,3,1,2,2,0,1,0,1,1,0,0,
q1,,,17,,2,#NUM!,6,2,25,0.670833333333333,16:00:00,6:00:00,87.5,0,1,0,0,3.2,#NUM!,1,3.75,0,0,0,0,0,50,#NUM!,3,2,5,5,4,1,2.25,4,2,0,0,
med,,,17,,5,0,6,3,42.5,1,17:00:00,6:30:00,95,0,3,0,0,3.585,0,2,7,9.5,0,0,10,0,70,0,3,4.5,6,6,5,3,3.5,5,4,1,0,
