serial #,Gender,Grade,Age,Diet,breakfast frequency,food breakfast,sleep per night,homework time,%homework in school,transportation time,get home around,wake up around,% homework alone,fast food frequency,sick days,lunch detention/workshop,part time job,GPA,letter grade,stress,metro%,bus%,walk%,driven%,%find teacher,subject good,subject bad,know grade,respected by friends,respected by teachers,like burke,assembly,bonding trip,advising program,clubs,sport season,pe credit,sport outside
701,F,7,13,Vegetarian,4,"Bagels, OJ",6,1,25,2,16:30:00,6:00:00,90,0,3,0,0,4,A,4,50,0,0,50,75,Geography,Spanish,2,6,6,7,1,7,6,7,0,1,0
702,M,7,13,No,5,Power Bars,9,1,0,1,15:30:00,6:40:00,100,0,2,5,0,4,A,5,0,50,0,50,95,N/A,N/A,6,4,7,7,3,6,7,7,0,0,Tennis and Basket Ball
703,M,7,13,No,4,Pancakes,8,2,75,0.5,17:00:00,6:45:00,80,0,2,10,0,3,B,6,0,0,0,100,85,Spanish,N/A,3,6,6,6,2,4,5,6,0,0,0
704,M,7,12,No,2.5,yrpad,6.5,""".2 2""",10,0.5,18:00:00,7:00:00,99,0,2,7,0,3,B,5,0,0,100,0,40,N/A,Chorus,3,7,7,7,3,7,7,7,0,4,0
705,M,7,12,No,5,"Cereal, Bagel",9,2,0,6.5,15:12:00,6:00:00,99,1,"""4 - 5""","""3 - 5""",0,0,,3,0,0,0,100,80,Geography,Science,"""N/A""","""Yes""","""Yes""","""Yes""","""Yes""","""N/A""","""Yes""","""Yes""",0,0,0
706,F,7,13,No,4,Protein,8.5,3,98,1,16:30:00,6:30:00,100,0.3,1,2,0,4,A,8.5,0,0,0,100,70,Science,N/A,6,5,6,7,2,"""N/A""",6,6,0,"""check""","ice skating, persoN/Al trainer"
707,M,7,13,No,5,"English Muffin, saimon, OJ",9.5,1.1428,75,1,16:30:00,6:34:00,100,0,1,8,0,4,A,7,0,0,0,100,80,N/A,N/A,3,5,5,6,2,2,3,"""N/A""",2,3,0
708,M,7,13,NO,0,N/A,9.5,1,10,1,17:00:00,6:15:00,99,0,0,1,0,4,A,3,0,0,0,100,90,Science,Spanish,4,7,6,7,1,7,6,7,2,9,"Socce, Ultimate Frisbe"
709,M,7,12,No,5,Oatmeal,9,2.5,5,1.5,18:00:00,5:30:00,95,0.5,0,1,0,4,A,7,30,0,0,70,90,LaN/Agauge Arts,Spanish,5,7,6,7,5,7,6,7,0,0,0
710,M,7,13,No,5,"English Muffin, Fruit",7,2,25,0.5,17:00:00,6:25:00,90,0,0,8,0,3.33,B+,2,0,25,1,74,95,"Math, Art",Science,4,6,6,7,5,4,4,7,0,0,0
711,M,7,12,No,0,N/A,7,0.75,10,0.417,15:45:00,6:15:00,95,1,0,10,3,3.33,B+,6,100,0,0,0,60,BAND,Spanish,1,5,2,2,1,3,2,6,0,0,0
712,F,7,12,No,5,"Cereal,ogurt",8,2.5,96,1.5,17:45:00,6:00:00,100,0.333333333333333,2,1,0,4,A,6.5,0,0,0,100,90,"French, Geography, Science",Math,6.5,5,6,6,5,6,7,6,7,7,Ice Skating
713,F,7,12,No,3,"Fruit, Bagel",7,2,15,2,19:00:00,6:00:00,100,1,0,15,0,2.66,B-,4,0,50,0,50,75,Spanish,Math,6,5,7,7,2,7,7,7,0,0,Basket Ball
714,F,7,13,No,5,"Cereal, Bagel, Pancakes",8.5,2,95,0.5,15:40:00,7:00:00,100,0,0,1,0,4,A,5,50,0,0,50,90,LaN/Agauge Arts,Math,5,7,6,6,4,7,6,7,0,0,"Ice skating, Dance,"
715,F,7,12,Vegetarian,5,toast,7,2.5,98,1.25,16:30:00,6:30:00,100,1,6,1,0,4,A,6.5,0,0,0,100,90,"Math, Art",Science,5,7,6,7,4,6,6,6,2,2,"Soccer, Basketball, Ice skating"
716,M,7,12,No,5,Pancakes and Cereal,10,1,15,0.333333333333333,18:00:00,7:00:00,90,0,0,3,0,3.66,A-,3,0,0,40,60,70,Science,N/A,3,7,6,5,1,6,6,4,0,0,0
717,M,7,12,No,5,"Oatmeal, bagel, smoothies, cereal",8,1,15,0.75,17:30:00,6:30:00,90,1,0,5,0,4,A,3,35,35,0,30,N/A,N/A,Science,3,7,6,5,2,7,7,4,0,0,Baseball
718,F,7,12,No,5,"Toast, yogurt",9,1.5,40,0.666666666666667,16:15:00,6:30:00,96,0,0,2,0,0,N/A,3,0,0,0,100,75,Science,Math,2,7,6,6,4,6,6,7,0,0,0
719,F,7,13,No,4,oatmeal,9,3,10,0.333333333333333,17:00:00,7:00:00,40,0,"""a lot""",4,0,4,A,5,0,0,50,50,60,PE,Science,4,6,6,4,1,6,3,4,7,7,swimming
720,F,7,12,No,5,"CinN/Amon Toast, French toast, pancakes",8,2,5,0,15:30:00,6:45:00,85,0,6,2,0,4,A,5,0,5,5,90,80,Spanish,Science,4,6,6,7,4,7,2,7,0,0,0
721,F,7,12,No,5,"Omlet, bacon, eggs",8,2,15,0.2,15:10:00,7:36:00,85,0,6,2,0,3,B,5,0,0,0,100,80,math,Spanish,4,6,6,7,4,7,2,7,1,1,"Soccer, Dance"
722,F,7,12,no,5,"Waffles, fruit",8,2,99,0.666666666666667,19:30:00,6:10:00,98,1,3,4,0,3.655,A or B+,7,70,0,30,0,100,Math,Science,5,4,7,7,3,7,6,7,7,7,"Ballet, Dance"
723,M,7,12,No,5,Cereal,8,2,0,10,16:00:00,6:00:00,99,1,5,9,0,3.33,B+,8,0,0,0,100,,N/A,N/A,2,6,7,7,5,6,6,7,3,5,0
724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,12.3913043478261,,4.19565217391304,,8.15217391304348,1.81330909090909,36.3478260869565,1.48334782608696,16:49:00,6:28:28,92.6086956521739,0.353623188405797,1.85714285714286,4.59090909090909,0.130434782608696,,,5.10869565217391,14.5652173913043,7.17391304347826,9.82608695652174,68.4347826086956,79.5238095238095,,,3.93181818181818,5.95454545454545,6,6.22727272727273,2.90909090909091,5.95238095238095,5.27272727272727,6.33333333333333,1.34782608695652,2.09090909090909,
sd,,,0.499010879347845,,1.49802241179665,,1.03829824285064,0.673672060186056,38.3246997208804,2.26226578223634,1:10:24,0:28:09,12.9113731768644,0.456019130649872,2.19740106229414,3.97203427440604,0.625543242171224,,,1.78984840482454,27.9168018599365,16.0840185331251,24.1259049268115,35.5218576589331,14.2218811963082,,,1.51418259062404,0.998917162649385,1.02353263143832,1.26986381653865,1.47709789175199,1.46547570693582,1.75069559459521,1.06458129484475,2.40470553200432,2.99060578206539,
min,,,12,,0,,6,0.75,0,0,15:10:00,5:30:00,40,0,0,0,0,,,2,0,0,0,0,40,,,1,4,2,2,1,2,2,4,0,0,
q1,,,12,,4,,7.5,1.0357,10,0.5,15:52:30,6:05:00,90,0,0,1.25,0,,,3.5,0,0,0,50,75,,,3,5,6,6,2,6,4.25,6,0,0,
