serial #,Gender,Grade,Age,Diet,breakfast frequency,food breakfast,sleep per night,homework time,%homework in school,transportation time,get home around,wake up around,% homework alone,fast food frequency,sick days,lunch detention/workshop,part time job,GPA,letter Grade,AP classes,stress,metro%,bus%,walk%,driven%,%drive yourself,%find teacher,subject good,subject bad,know grade,respected by friends,respected by teachers,like burke,assembly,bonding trip,advising program,clubs,sport season,pe credit,sport outside
901,M,9,15,No,3,neutorra,6,3,0,0.25,16:00:00,7:00:00,80,0.5,8,0,0,3.67,A-,0,3,0,0,0,100,0,80,Science,English,3,7,7,7,1,3,7,1,3,0,base ball
902,M,9,15,No,5,"cereal, pop tarts",8,2,15,0.266666666666667,16:00:00,6:30:00,100,1,0,0,0,3.33,B+,,4,50,50,0,0,0,50,Science,Math,4,5,5,7,3,7,4,4,1,1,basketball
903,M,9,15,No,5,"cereal, pop tarts",6.5,2,20,0.666666666666667,18:10:00,7:00:00,100,,4,0,3,3.98,N/A,0,7,0,0,0,100,0,70,N/A,N/A,5,6,6,7,2,4,4,6,2,0,nailing
904,F,9,14,No,2,"cereal, pop tarts",6,2,85,1,20:00:00,6:05:00,99,1,1,0,5,3.67,A-,0,8,100,0,0,0,0,80,Spanish,Science,7,7,5,6.5,7,4,7,N/A,2,0,0
905,F,9,14,No,2,"cereal, pop tarts",8,2,95,1,17:00:00,7:00:00,95,3,3,0,5,3.33,B+,0,8,0,0,0,100,0,80,Science,Spanish,7,7,7,6.5,7,5,7,6,1,0,0
906,M,9,15,No,5,"yogurt, bar, donut, egg, kish",6.5,2.5,10,1,18:30:00,6:50:00,100,1,0,0,5,3.67,A-,0,6,25,25,0,50,0,100,History,Spanish,4,7,7,7,7,7,4,3,3,0,"soccer, golf"
907,M,9,14,No,3,toaster waffles,7,2,5,0.5,16:15:00,6:45:00,99,0,0,0,0,3.67,A-,0,5,100,0,0,0,0,N/A,Math,English,1,7,7,6,1,7,5,5,2,2,sailing 
908,M,9,14,No,3.5,cereal,7,2.5,83,0.5,16:00:00,7:00:00,90,0.5,1,0,0,3,B,0,4,50,0,0,50,0,85,Science,French,5,6,5.5,6,3,3,4,2,1,1,0
909,M,9,15,No,5,"cereal, pancakes",6,1,33,0.666666666666667,15:40:00,5:55:00,73,2,0,0,0,4,A-,0,7,100,0,0,0,0,N/A,N/A,N/A,5,1,7,3,2,3,5,2,0,0,0
910,F,9,15,Vegetarian,5,coffe yogurt,6,2,80,0.3,16:30:00,6:45:00,5,1,6,0,36,3.7,N/A,0,5,80,0,0,20,0,80,Math,English,7,2,7,6,2,7,2,1,7,0,hockey
911,F,9,14,No,0,none,9,3,20,0.666666666666667,"""depends""",6:30:00,90,3,2,0,0,3.33,B+,0,5,0,0,0,100,0,50,English,Science,5,4,4,1,1,1,2,1,1,1,0
912,M,9,14,No,5,"ceral, toast",6,2.5,20,1,16:05:00,6:30:00,100,1,2,0,0,3,B,0,7,100,0,0,0,0,75,Spanish,Math,4,3,5,5,1,6,5,4,0,0,tennis and soccer 
913,F,9,15,no,5,toaster waffles,7,3,95,1,16:10:00,6:30:00,90,4,2,2,0,4,A,0,5,0,0,0,100,0,30,english,Math,5,6,5,7,3,7,6,2,0,3,0
914,M,9,15,No,5,"cereal, toast",6,1.5,80,0.5,17:00:00,6:50:00,100,1,5,4,0,3,B,0,10,0,0,0,100,0,50,english,spanish,5,6,5,2,3,4,5,7,1,1,karakte 
