serial #,Gender,Grade,Age,Diet,breakfast frequency,food breakfast,sleep per night,homework time,%homework in school,transportation time,get home around,wake up around,% homework alone,fast food frequency,sick days,lunch detention/workshop,part time job,GPA,letter grade,stress,metro%,bus%,walk%,driven%,%find teacher,subject good,subject bad,know grade,respected by friends,respected by teachers,like burke,assembly,bonding trip,advising program,clubs,sport season,pe credit,sport outside
601,M,6,11,No,5,Cereal,6,1,1,1,15:45:00,6:45:00,95,0,7,3,0,N/A,N/A,7,0,0,0,100,90,Math,Science,1,3,4,6,6,5,4,7,,1,
602,F,6,12,Vegetarian,5,"Yogurt,apple,aplleause, baN/AnN/A",6,1,10,1,17:30:00,5:30:00,95,1,0,0,,N/A,N/A,9,0,50,0,50,60,"Diving IN, PE, Art",Math,1,3,6,7,3,7,2,6,,1,
603,F,6,11,No,0,"Bread, oranges",8,1.5,0,0.5,17:00:00,6:35:00,100,2,1,2,0,N/A,N/A,8,50,0,0,50,95,"Core, 3d art, dovomg om",Math,6,7,5,7,7,7,7,7,0,0,
604,M,6,12,No,5,Breack ray,,2,95,1,16:30:00,6:19:00,50,0,0,0,0,N/A,N/A,3,50,0,50,0,70,Core,Math,5,5,7,7,1,5,7,7,,,
605,F,6,11,No,0,part tart,7,3,2.5,2,17:30:00,6:00:00,100,7,0.75,3,0,N/A,N/A,9,0,0,0,100,0,"Pe, Diving in","Math, Science, Core",7,7,7,7,1,7,4.5,7,,,
606,M,6,11,No,5,"oatmeal, blueberries, rasperries, cornbread",9,1,5,1,15:30:00,6:40:00,95,0,0,0,0,N/A,N/A,3.5,0,0,0,100,85,math,Science,1,6,6,7,3,6,4,7,2,0,
607,M,6,11,No,5,"waffles, strawberry, milk, cereal",10,2,85,0.666666666666667,16:46:00,7:00:00,94,5,0,0,0,N/A,N/A,8,50,0,0,50,20,"Math,Core",Science,1,7,6,7,2,7,6,7,,,
608,M,6,11,No,5,"cereal, toast",8,2,20,0.166666666666667,15:30:00,7:50:00,75,0,2,2,0,N/A,N/A,4,0,0,0,100,89,"Core, Science",Math,1,6.9,7,7,7,6.5,7,7,0,0,
609,F,6,11,Vegetarian,5,"toast,bagels, creeps",9,1.5,15,0.666666666666667,15:20:00,6:30:00,100,0,0,0,0,N/A,N/A,4,0,0,0,100,50,"math,reading",science,N/A,6,7,7,7,7,N/A,7,0,0,
610,F,6,12,No,5,"cereal,toast,bagels,egg white omelet",9,2,15,0.666666666666667,17:00:00,6:30:00,100,0,1,0,0,N/A,N/A,4,0,0,0,100,50,math,science,N/A,6,7,7,7,7,N/A,7,0,0,
611,F,6,11,Vegetarian,3,"fruit smoothie, milk",9,2,20,0.333333333333333,16:00:00,6:15:00,100,0,1,0,0,N/A,N/A,6,0,0,5,95,80,Math,Grammar,2,6,5,6,3,4,5,3,0,0,
612,M,6,12,No,5,"cereal, eggs",8.5,1.5,30,0.5,16:3-,6:45:00,90,0,1,2,0,N/A,A,8,0,0,0,100,80,N/A,N/A,5,6,4,6,4,3,2,7,0,0,
613,F,6,11,No,5,"fruit, oatmeal",9,1,99,1,15:30:00,6:30:00,99,0,0,2,0,N/A,N/A,5,0,0,0,100,98,"Core, Math",science,N/A,7,7,7,5,7,6,7,0,0,
614,F,6,11,No,4.5,"Bagel, powerbar",7.5,1.5,0.5,0.5,15:45:00,6:45:00,99,0,1,1,0,N/A,N/A,7,1,0,0,99,,"Core, Math",Science,6,7,7,7,5,7,7,7,0,0,
615,F,6,12,No,5,Pizza,7,2,95,0.5,16:00:00,6:00:00,100,1,2,2,0,N/A,N/A,7,0,0,0,100,90,Core,Science,6,2,7,7,6,7,7,7,0,0,
616,F,6,11,No,5,"pbj sandwich, water",7.5,0.5,90,2,17:30:00,6:35:00,85,1,2,3,0,N/A,B,8,40,30,30,0,95,Science,Core,5,3,6,7,4,7,7,7,0,0,
701,F,7,13,Vegetarian,4,"Bagels, OJ",6,1,25,2,16:30:00,6:00:00,90,0,3,0,0,4,A,4,50,0,0,50,75,Geography,Spanish,2,6,6,7,1,7,6,7,0,1,0
702,M,7,13,No,5,Power Bars,9,1,0,1,15:30:00,6:40:00,100,0,2,5,0,4,A,5,0,50,0,50,95,N/A,N/A,6,4,7,7,3,6,7,7,0,0,Tennis and Basket Ball
703,M,7,13,No,4,Pancakes,8,2,75,0.5,17:00:00,6:45:00,80,0,2,10,0,3,B,6,0,0,0,100,85,Spanish,N/A,3,6,6,6,2,4,5,6,0,0,0
704,M,7,12,No,2.5,yrpad,6.5,""".2 2""",10,0.5,18:00:00,7:00:00,99,0,2,7,0,3,B,5,0,0,100,0,40,N/A,Chorus,3,7,7,7,3,7,7,7,0,4,0
705,M,7,12,No,5,"Cereal, Bagel",9,2,0,6.5,15:12:00,6:00:00,99,1,"""4 - 5""","""3 - 5""",0,0,,3,0,0,0,100,80,Geography,Science,"""N/A""","""Yes""","""Yes""","""Yes""","""Yes""","""N/A""","""Yes""","""Yes""",0,0,0
706,F,7,13,No,4,Protein,8.5,3,98,1,16:30:00,6:30:00,100,0.3,1,2,0,4,A,8.5,0,0,0,100,70,Science,N/A,6,5,6,7,2,"""N/A""",6,6,0,"""check""","ice skating, persoN/Al trainer"
707,M,7,13,No,5,"English Muffin, saimon, OJ",9.5,1.1428,75,1,16:30:00,6:34:00,100,0,1,8,0,4,A,7,0,0,0,100,80,N/A,N/A,3,5,5,6,2,2,3,"""N/A""",2,3,0
708,M,7,13,NO,0,N/A,9.5,1,10,1,17:00:00,6:15:00,99,0,0,1,0,4,A,3,0,0,0,100,90,Science,Spanish,4,7,6,7,1,7,6,7,2,9,"Socce, Ultimate Frisbe"
709,M,7,12,No,5,Oatmeal,9,2.5,5,1.5,18:00:00,5:30:00,95,0.5,0,1,0,4,A,7,30,0,0,70,90,LaN/Agauge Arts,Spanish,5,7,6,7,5,7,6,7,0,0,0
710,M,7,13,No,5,"English Muffin, Fruit",7,2,25,0.5,17:00:00,6:25:00,90,0,0,8,0,3.33,B+,2,0,25,1,74,95,"Math, Art",Science,4,6,6,7,5,4,4,7,0,0,0
711,M,7,12,No,0,N/A,7,0.75,10,0.417,15:45:00,6:15:00,95,1,0,10,3,3.33,B+,6,100,0,0,0,60,BAND,Spanish,1,5,2,2,1,3,2,6,0,0,0
712,F,7,12,No,5,"Cereal,ogurt",8,2.5,96,1.5,17:45:00,6:00:00,100,0.333333333333333,2,1,0,4,A,6.5,0,0,0,100,90,"French, Geography, Science",Math,6.5,5,6,6,5,6,7,6,7,7,Ice Skating
