,Gender,Grade,Age,Diet,breakfast frequency,food breakfast,sleep per night,homework time,%homework in school,transportation time,get home around,wake up around,% homework alone,fast food frequency,sick days,lunch detention/workshop,part time job,GPA,letter Grade,AP classes,stress,metro%,bus%,walk%,driven%,%drive yourself,%find teacher,subject good,subject bad,know grade,respected by friends,respected by teachers,like burke,assembly,bonding trip,advising program,clubs,sport season,pe credit,sport outside
1101,M,11,17,No,5,"Cereal, Juice, Leftovers",6,2,50,2,18:00:00,6:00:00,100,1,7,0,12,3.33,B+,0,6,0.9090909091,0,0.0909090909,0,0,N/A,Math,English,3,7,6,7,2,7,3,7,11,12,0
1102,M,11,16,No,5,"Cereal, Fruit",7,2,50,1,18:00:00,6:00:00,50,1,2,0,0,3.4,N/A,0,7,50,0,0,0,50,N/A,Math,English,5,6,6,4,1,5,2,5,3,0,0
1103,M,11,16,No,0,N/A,6.5,3,90,0.5,16:00:00,7:00:00,90,5,1,3,0,3.4,N/A,0,7,100,0,0,0,0,80,Science,English,2,2,5,5,4,3,5,2,2,0,0
1104,M,11,16,No,5,"Cereal, Waffle",10,2,0,1,16:15:00,6:40:00,95,1,0,0,0,3,B,0,6,25,25,25,25,0,90,N/A,N/A,5,6,6,6,3,6,5,2,0,2,0
1105,F,11,16,No,5,"Banana,cereal,peanut butter",9,2,0-,2,16:15:00,6:30:00,90,0,0,0,0,3.2,N/A,1,8,100,0,0,0,0,75,N/A,Spanish,5,5,5,5,7,7,6,1,2,0,0
1106,M,11,16,No,5,"Cereal, bagel, toast, corssiant",7.5,3,10,0.5,16:30:00,6:30:00,90,1,0,0,0,4,A,1,6.5,0,0,0,100,0,75,N/A,N/A,6,6,7,6,4,4,5,4,2,0,Year long soccer team
1107,M,11,17,No,5,"Bread, fruit, leftovers",7,4,35,0,16:30:00,7:10:00,90,2,0,5,10,3,B,1,8,0,1,90,9,0,95,"History, English",Math,5,5,7,4,2,7,5,1,2,2,0
1108,M,11,16,No,0,N/A,8,2,90,1,19:00:00,6:30:00,50,0,4,0,0,3.4,N/A,0,5,50,25,25,0,0,40,History,Math,4,4,6,7,1,1,6,1,0,0,0
1109,F,11,17,No,5,"Milk, Juice, bagel, taost, Fruit",6,4,45,2,19:00:00,6:30:00,100,1,2,0,4,3.33,B+,1,8,95,0,5,0,0,80,Math,Science,2,5,5,4,7,7,7,5,1,0,0
1110,F,11,16,No,5,"Cereal, Milk",6,4,10,1,16:00:00,6:35:00,80,0,2,0,0,3.31,N/A,0,8.5,20,0,0,80,0,70,English,Math,4,7,6,7,5,6,6,5,3,0,Swim Team
1111,F,11,16,No,5,Waffles,6,5.5,33,0.5,18:45:00,5:45:00,90,0,0,0,0,4,A,3,8,0,0,0,100,0,70,MATH,0,7,6,7,4,2,3,6,1,2,0,0
1112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,M,11,17,Vegetarian,5,"Fruit,smoothie, cereal",7,3,70,1.5,18:00:00,6:45:00,100,1,2,0,0,N/A,N/A,2,6,50,0,0,50,0,50,"Math,Science, Spanish",N/A,3,7,7,5,6,4,6,N/A,1,1,0
1114,M,11,16,No,1,Granola bar,7,1,25,1,16:00:00,7:00:00,100,3,5,0,0,3,B,0,4,50,0,50,0,0,80,Physics,English,2,5,5,5,1,6,4,4,2,0,0
1115,M,11,16,No,5,eggs,4,1,51,1.5,16:00:00,6:30:00,100,1,7,4,0,2.9,N/A,0,3,0,50,50,0,0,N/A,N/A,N/A,3,3,2,4,1,5,5,2,1,0,0
1116,F,11,16,No,4,"Cereal bar, fruit",8,2,70,1.5,17:00:00,6:30:00,95,1,1,0,0,3.33,B+,0,7,100,0,0,0,0,90.1,Geometry,US History,5,7,5,5,5,5,3,3,1,0,0
1117,M,11,16,No,3,"pastries, bannan",7,2,50,1,16:00:00,7:10:00,99,0,"""a lot""","""many""",0,"""secret""","""secret""",1,3,50,0,0,50,0,N/A,"Math,Physics",History,2,7,7,7,0,4,7,7,0,0,0
1118,F,11,16,No,5,"toast,cereal",8,3,70,1,17:00:00,7:00:00,100,0,0,0,70,3.5,N/A,1,8,32.1428571429,32.1428571429,0,35.7142857143,0,N/A,History,Math,6,7,5,7,5,N/A,7,7,3,0,0
1119,F,11,16,No,1,"toast, nature valley bar",6,4,79,0.4166666667,18:30:00,7:00:00,50,0,2,3,0,3.6,N/A,1,8,5,5,0,90,0,75,N/A,N/A,6,6,7,4.5,5.5,5.5,4,4,2,0,0
1120,F,11,16,No,5,"Waffles,cereal,toast",6,2,90,0.5,19:30:00,7:10:00,99,1,0,0,0,3.2,N/A,0,7,0,3,0,97,0,70,Math,Bio,3,5,5,7,1,5,3,3,3,0,club soccer
1121,M,11,16,No,5,Scrambled eggs with ham,7,3,10,,16:10:00,5:20:00,100,0,2,0,0,2.98,N/A,0,7,0,0,0,100,0,75,Geometry,Bio,5,1,5,5,2,1,7,1,0,3,0
1122,F,11,16,No,2,granda bars,5.5,2,40,1,16:00:00,7:00:00,100,0,12,0,0,3.33,B+,1,9,0,80,10,10,0,50,"History, English",Math,4,7,6,7,3,7,6,5,0,0,0
1123,M,11,16,No,5,"bagel, oatmeal, eggs, ceral",8,3,25,1,18:30:00,6:00:00,95,1,0,12,0,2,C,0,10,95,0,0,5,0,95,English,Geometry,7,7,7,7,6,7,7,5,7,0,
1124,F,11,17,No,4,"granola bar, diet coke",6,3,50,0.1,16:30:00,7:15:00,70,1,3,0,0,3.4,N/A,1,9,50,0,0,50,0,40,"""Ant""",French/Bio,4,6,5,6,3,4,5,4,1,0,0
